Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
9/13/2017,298.1,299.7,295.3,297.25,295.9,6631530,19695.46
9/12/2017,302.1,302.9,297.5,297.95,298.1,7841809,23452.11
9/11/2017,301.4,303.4,300.25,301.7,301.15,5353348,16138.93
9/8/2017,300,301.7,298.5,301.15,300.5,4517471,13542.8
9/7/2017,298,299.9,297.5,299,298.95,3341280,9985.35
9/6/2017,297,297.9,296.1,297.45,297.2,3091237,9180.14
9/5/2017,297.4,298.4,296.4,297.55,297.25,2920881,8688.89
9/4/2017,296.95,298,295.7,297.5,297.3,3007517,8924.9
9/1/2017,298,298.3,295.8,296,296.45,3200862,9499.81
8/31/2017,295,300.5,294.1,297.85,299.1,10344646,30812.07
8/30/2017,291.45,292,290.6,290.75,291.2,1837382,5355.56
8/29/2017,290.8,292,290.1,290.85,290.75,1759428,5116.57
8/28/2017,290,291.8,289.7,290.8,290.7,2143420,6231.97
8/24/2017,290.45,291,288.8,290,289.4,2780093,8051.93
8/23/2017,291.1,291.8,289.6,290,290,2333779,6773.12
8/22/2017,290.5,293,288.9,290.5,290.25,2714521,7900.22
8/21/2017,289.35,291.2,287.3,288,287.7,2855010,8250.79
8/18/2017,288.05,291,287.9,288.05,288.1,2980838,8625.54
8/17/2017,290.9,291,288,288.25,288.35,2637344,7629.09
8/16/2017,289.4,290.1,288,289.15,289.95,2011284,5824.4
8/14/2017,290.05,290.9,287.25,287.85,288.5,1609558,4644.29
8/11/2017,288,294.55,287.7,289.6,289.7,3549897,10312.03
8/10/2017,286,289.45,285.75,289.15,288.15,2708344,7792.33
8/9/2017,287.1,288.55,285.9,286.6,286.5,1089850,3129.35
8/8/2017,291.3,291.55,284.9,287.05,287.4,2729913,7831.46
8/7/2017,289.6,289.9,287.1,287.95,287.75,1470499,4234.73
8/4/2017,289.8,293.2,289,289.85,289.4,2548522,7392.64
8/3/2017,294.7,295.4,288.6,289.25,289.1,3645825,10638.24
8/2/2017,294,297.7,293,293.6,293.8,2426114,7156.44
8/1/2017,289,295.95,289,294.65,294.8,4035172,11855.48
7/31/2017,290,290.5,287.4,288.75,288.45,2550406,7367.15
7/28/2017,290,290.85,287.9,289,289.05,2433017,7029.61
7/27/2017,290,293.25,287.25,292,289.7,5905630,17115.8
7/26/2017,290,291.5,287.8,289.95,289.35,2970592,8595.9
7/25/2017,292.85,292.95,289,289.55,289.55,3372477,9780.58
7/24/2017,290.2,293.5,289.25,291,291.55,6554857,19112.57
7/21/2017,283.9,290.9,280.25,285.65,286.05,16392253,47020.62
7/20/2017,270.75,274.25,268.25,270,269.15,2676624,7255.15
7/19/2017,270,272.05,267.3,271.55,271.1,2973058,8023.33
7/18/2017,267.3,272.65,266.5,269,269,2753504,7415.04
7/17/2017,266.4,274,264.55,268.3,266.85,7769247,20866.17
7/14/2017,264.15,264.95,259,260,259.85,2454505,6407.12
7/13/2017,263.9,265.85,261.45,263.25,264.05,1624316,4289.41
7/12/2017,263.7,265.8,261.3,263.4,263.8,1189091,3132.09
7/11/2017,266.2,273.5,262.1,264,263.2,4060405,10866.78
7/10/2017,260,268.95,257,268.5,268.25,667432,1778.05
7/7/2017,255.1,258.25,255,257.1,257.7,1458678,3754.08
7/6/2017,257.8,260.05,255.85,256.5,257.75,1649570,4256.27
7/5/2017,260,260.4,256.45,257.4,257.8,1886501,4867.9
7/4/2017,258,260.95,255,260.2,260,2200628,5683.58
7/3/2017,260,260.4,252,260.2,259.6,2089768,5372.59
6/30/2017,256.8,260.85,256.2,259.3,258.35,2715958,7005.38
6/29/2017,260,260.9,256.05,260,259.3,4854364,12571.37
6/28/2017,258,259.4,254.25,258.85,258.4,1668027,4286.43
6/27/2017,255.5,258.05,253.45,256.7,256.55,3577687,9133.18
6/23/2017,254,259.9,253,257.5,256.85,2269483,5830.28
6/22/2017,256,258.85,253.2,254.1,255.05,1441215,3685.05
6/21/2017,254.25,256.5,252,256,255.9,1835890,4670.95
6/20/2017,255,256.35,253.5,255,254.25,773797,1968.38
6/19/2017,256,257.9,253.35,254.1,254.55,1459377,3717.36
6/16/2017,260.1,263.1,252.8,254.6,255.25,3011359,7698.41
6/15/2017,260,261.9,255.05,260.1,260.85,3119177,8088.78
6/14/2017,261.3,261.3,252.3,256.9,256.1,3030195,7724.76
6/13/2017,260,266.7,256.75,258.85,259,3354767,8772.91
6/12/2017,535.6,535.6,520.65,524.4,526.35,2324265,12231.84
